id,source_neural_network,num_of_calls,parameters,running_time
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,10,"{'input_size': [[32]], 'value': [[1]], 'dtype': []}",5.800724029541015e-06
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,52,"{'input_size': [[96]], 'value': [[1]], 'dtype': []}",5.7387351989746094e-06
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,18,"{'input_size': [[192]], 'value': [[0]], 'dtype': []}",5.743503570556641e-06
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[960]], 'value': [[1]], 'dtype': []}",5.574226379394531e-06
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[192]], 'value': [[1.0]], 'dtype': []}",5.803108215332031e-06
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,33,"{'input_size': [[96]], 'value': [[0]], 'dtype': []}",5.7077407836914066e-06
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,19,"{'input_size': [[96]], 'value': [[1.0]], 'dtype': []}",5.660057067871093e-06
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,30,"{'input_size': [[192]], 'value': [[1]], 'dtype': []}",5.800724029541015e-06
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,16,"{'input_size': [[384]], 'value': [[1]], 'dtype': []}",5.624294281005859e-06
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[576]], 'value': [[1]], 'dtype': []}",5.650520324707031e-06
#10,shufflenet-v2-1x_16xb64_cifar10,5,"{'input_size': [[24]], 'value': [[1]], 'dtype': []}",5.602836608886719e-06
#11,shufflenet-v2-1x_16xb64_cifar10,28,"{'input_size': [[232]], 'value': [[0]], 'dtype': []}",5.660057067871093e-06
#12,shufflenet-v2-1x_16xb64_cifar10,14,"{'input_size': [[232]], 'value': [[1.0]], 'dtype': []}",5.7053565979003906e-06
#13,shufflenet-v2-1x_16xb64_cifar10,26,"{'input_size': [[58]], 'value': [[1]], 'dtype': []}",5.567073822021485e-06
