id,source_neural_network,num_of_calls,parameters,running_time
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,1,"{'max1': [[2, 1, 2]], 'max2': [[1, 5733, 2]]}",1.2505054473876954e-05
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,1,"{'max1': [[2, 5733]], 'max2': [[1]]}",9.191036224365234e-06
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[2, 5733]], 'max2': []}",8.928775787353516e-06
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[4, 6048]], 'max2': []}",9.57489013671875e-06
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,2,"{'max1': [[1, 6240]], 'max2': []}",1.619100570678711e-05
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,2,"{'max1': [[1, 1560]], 'max2': []}",9.77039337158203e-06
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,2,"{'max1': [[1, 390]], 'max2': []}",9.617805480957032e-06
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[13, 8190]], 'max2': []}",1.255035400390625e-05
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[4, 8190]], 'max2': []}",9.353160858154296e-06
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[1, 9828]], 'max2': []}",1.0190010070800782e-05
#10,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[2, 217413]], 'max2': []}",8.749961853027344e-06
#11,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[4, 1000]], 'max2': []}",8.96930694580078e-06
#12,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[14, 242991]], 'max2': []}",9.67264175415039e-06
#13,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[8741, 4]], 'max2': []}",8.609294891357422e-06
#14,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[4, 217413]], 'max2': []}",8.697509765625e-06
#15,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[31, 1000]], 'max2': []}",8.528232574462891e-06
#16,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[14, 1000]], 'max2': []}",9.670257568359376e-06
#17,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[31, 242991]], 'max2': []}",8.592605590820312e-06
#18,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,5,"{'max1': [[6]], 'max2': []}",9.307861328125e-06
#19,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,5,"{'max1': [[24]], 'max2': []}",9.162425994873047e-06
#20,ssd300_coco,2,"{'max1': [[13, 1, 2]], 'max2': [[1, 8732, 2]]}",8.71896743774414e-06
#21,ssd300_coco,2,"{'max1': [[4, 8732]], 'max2': []}",9.93490219116211e-06
#22,ssd300_coco,2,"{'max1': [[11, 8732]], 'max2': []}",8.912086486816407e-06
#23,ssd300_coco,2,"{'max1': [[3, 8732]], 'max2': []}",9.047985076904298e-06
#24,ssd300_coco,2,"{'max1': [[7, 8732]], 'max2': []}",9.288787841796875e-06
#25,ssd300_coco,4,"{'max1': [[13, 8732]], 'max2': []}",9.326934814453124e-06
#26,ssd300_coco,2,"{'max1': [[28, 8732]], 'max2': []}",9.911060333251953e-06
#27,ssd300_coco,2,"{'max1': [[2, 8732]], 'max2': []}",8.873939514160156e-06
#28,ssd300_coco,2,"{'max1': [[5, 8732]], 'max2': []}",9.622573852539062e-06
#29,ssd300_coco,2,"{'max1': [[6, 8732]], 'max2': []}",8.804798126220703e-06
#30,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[2, 1000]], 'max2': [[1]]}",8.945465087890626e-06
#31,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[2, 1, 2]], 'max2': [[1, 1000, 2]]}",9.751319885253906e-06
#32,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[3, 217413]], 'max2': []}",9.744167327880859e-06
#33,faster_rcnn_r50_fpn_1x_coco,3,"{'max1': [[8663, 4]], 'max2': []}",1.3058185577392579e-05
#34,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[2, 255780]], 'max2': []}",1.0223388671875e-05
#35,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[1, 1000]], 'max2': []}",9.131431579589843e-06
#36,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[3, 1000]], 'max2': []}",9.720325469970704e-06
#37,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[1, 217413]], 'max2': []}",2.4127960205078126e-05
#38,faster_rcnn_r50_fpn_1x_coco,4,"{'max1': [[2, 1000]], 'max2': []}",9.0789794921875e-06
#39,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[2, 242991]], 'max2': []}",1.281261444091797e-05
#40,centernet_resnet18_140e_coco,168,"{'max1': [[7, 7]], 'max2': [[7, 7]]}",1.7857551574707033e-05
#41,centernet_resnet18_140e_coco,168,"{'max1': [[7, 7]], 'max2': []}",9.105205535888671e-06
#42,centernet_resnet18_140e_coco,102,"{'max1': [[9, 9]], 'max2': [[9, 9]]}",9.794235229492187e-06
#43,centernet_resnet18_140e_coco,102,"{'max1': [[9, 9]], 'max2': []}",9.677410125732423e-06
#44,centernet_resnet18_140e_coco,427,"{'max1': [[1, 1]], 'max2': [[1, 1]]}",8.821487426757812e-06
#45,centernet_resnet18_140e_coco,427,"{'max1': [[1, 1]], 'max2': []}",1.232147216796875e-05
#46,centernet_resnet18_140e_coco,236,"{'max1': [[5, 5]], 'max2': [[5, 5]]}",9.222030639648437e-06
#47,centernet_resnet18_140e_coco,236,"{'max1': [[5, 5]], 'max2': []}",9.04083251953125e-06
#48,centernet_resnet18_140e_coco,385,"{'max1': [[3, 3]], 'max2': [[3, 3]]}",9.191036224365234e-06
#49,centernet_resnet18_140e_coco,385,"{'max1': [[3, 3]], 'max2': []}",9.62972640991211e-06
#50,detr_r50_8x2_150e_coco,12,"{'max1': [[100, 1, 2]], 'max2': [[1, 16, 2]]}",9.639263153076172e-06
#51,detr_r50_8x2_150e_coco,12,"{'max1': [[100, 16]], 'max2': [[1]]}",9.603500366210938e-06
#52,detr_r50_8x2_150e_coco,120,"{'max1': [[100, 2]], 'max2': [[100, 2]]}",8.52346420288086e-06
#53,detr_r50_8x2_150e_coco,120,"{'max1': [[100]], 'max2': [[1]]}",9.70602035522461e-06
#54,detr_r50_8x2_150e_coco,48,"{'max1': [[100, 1, 2]], 'max2': [[1, 1, 2]]}",8.623600006103516e-06
#55,detr_r50_8x2_150e_coco,48,"{'max1': [[100, 1]], 'max2': [[1]]}",1.2390613555908203e-05
#56,detr_r50_8x2_150e_coco,24,"{'max1': [[100, 1, 2]], 'max2': [[1, 2, 2]]}",8.637905120849609e-06
#57,detr_r50_8x2_150e_coco,24,"{'max1': [[100, 2]], 'max2': [[1]]}",8.966922760009765e-06
#58,detr_r50_8x2_150e_coco,24,"{'max1': [[100, 1, 2]], 'max2': [[1, 7, 2]]}",4.801511764526367e-05
#59,detr_r50_8x2_150e_coco,24,"{'max1': [[100, 7]], 'max2': [[1]]}",8.766651153564454e-06
#60,mask_rcnn_r50_fpn_1x_coco,2,"{'max1': [[8741, 4]], 'max2': []}",8.99791717529297e-06
#61,mask_rcnn_r50_fpn_1x_coco,2,"{'max1': [[13, 242991]], 'max2': []}",1.0330677032470703e-05
#62,mask_rcnn_r50_fpn_1x_coco,2,"{'max1': [[4, 242991]], 'max2': []}",8.950233459472656e-06
#63,mask_rcnn_r50_fpn_1x_coco,4,"{'max1': [[6, 1000]], 'max2': []}",1.090526580810547e-05
#64,mask_rcnn_r50_fpn_1x_coco,2,"{'max1': [[4, 1, 2]], 'max2': [[1, 1000, 2]]}",9.164810180664062e-06
#65,mask_rcnn_r50_fpn_1x_coco,2,"{'max1': [[4, 1000]], 'max2': [[1]]}",1.2559890747070312e-05
#66,mask_rcnn_r50_fpn_1x_coco,4,"{'max1': [[4, 1000]], 'max2': []}",1.839876174926758e-05
#67,mask_rcnn_r50_fpn_1x_coco,3,"{'max1': [[8663, 4]], 'max2': []}",8.580684661865235e-06
#68,mask_rcnn_r50_fpn_1x_coco,4,"{'max1': [[6, 217413]], 'max2': []}",9.8419189453125e-06
#69,mask_rcnn_r50_fpn_1x_coco,2,"{'max1': [[4, 217413]], 'max2': []}",1.010894775390625e-05
#70,cascade_rcnn_r50_fpn_1x_coco,2,"{'max1': [[14, 498]], 'max2': [[1]]}",9.393692016601562e-06
#71,cascade_rcnn_r50_fpn_1x_coco,2,"{'max1': [[14, 1, 2]], 'max2': [[1, 498, 2]]}",8.535385131835937e-06
