id,source_neural_network,num_of_calls,parameters,running_time
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,36,"{'input_size': [[576]], 'dim': [], 'keepdim': []}",9.083747863769532e-06
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,30,"{'input_size': [[32]], 'dim': [], 'keepdim': []}",1.1987686157226563e-05
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,28,"{'input_size': [[96, 192, 1, 1]], 'dim': [], 'keepdim': []}",1.2195110321044922e-05
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,84,"{'input_size': [[192]], 'dim': [], 'keepdim': []}",9.276866912841796e-06
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,24,"{'input_size': [[192, 96, 3, 3]], 'dim': [], 'keepdim': []}",9.405612945556641e-06
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,24,"{'input_size': [[64]], 'dim': [], 'keepdim': []}",1.1417865753173828e-05
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,126,"{'input_size': [[96]], 'dim': [], 'keepdim': []}",1.5437602996826172e-05
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,48,"{'input_size': [[384]], 'dim': [], 'keepdim': []}",9.28640365600586e-06
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,60,"{'input_size': [[]], 'dim': [], 'keepdim': []}",1.1651515960693359e-05
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,36,"{'input_size': [[960]], 'dim': [], 'keepdim': []}",9.279251098632813e-06
#10,shufflenet-v2-1x_16xb64_cifar10,18,"{'input_size': [[232, 232, 1, 1]], 'dim': [], 'keepdim': []}",9.360313415527343e-06
#11,shufflenet-v2-1x_16xb64_cifar10,10,"{'input_size': [[24]], 'dim': [], 'keepdim': []}",1.2102127075195312e-05
#12,shufflenet-v2-1x_16xb64_cifar10,56,"{'input_size': [[232]], 'dim': [], 'keepdim': []}",1.3751983642578125e-05
#13,shufflenet-v2-1x_16xb64_cifar10,10,"{'input_size': [[232, 1, 3, 3]], 'dim': [], 'keepdim': []}",9.393692016601562e-06
#14,shufflenet-v2-1x_16xb64_cifar10,52,"{'input_size': [[58]], 'dim': [], 'keepdim': []}",1.2145042419433593e-05
#15,shufflenet-v2-1x_16xb64_cifar10,8,"{'input_size': [[58, 1, 3, 3]], 'dim': [], 'keepdim': []}",9.355545043945313e-06
#16,shufflenet-v2-1x_16xb64_cifar10,14,"{'input_size': [[58, 58, 1, 1]], 'dim': [], 'keepdim': []}",1.744270324707031e-05
#17,shufflenet-v2-1x_16xb64_cifar10,18,"{'input_size': [[116, 1, 3, 3]], 'dim': [], 'keepdim': []}",1.1975765228271484e-05
#18,shufflenet-v2-1x_16xb64_cifar10,104,"{'input_size': [[116]], 'dim': [], 'keepdim': []}",8.895397186279297e-06
#19,shufflenet-v2-1x_16xb64_cifar10,34,"{'input_size': [[116, 116, 1, 1]], 'dim': [], 'keepdim': []}",9.241104125976562e-06
#20,stgcn_80e_ntu60_xsub_keypoint,80,"{'input_size': [[16, 2, 256, 1, 1]], 'dim': [], 'keepdim': []}",1.205921173095703e-05
#21,stgcn_80e_ntu60_xsub_keypoint,240,"{'input_size': [[]], 'dim': [], 'keepdim': []}",8.966922760009765e-06
#22,hrnet_w32_coco_256x192_coarsedropout,10,"{'input_size': [[]], 'dim': [], 'keepdim': []}",8.943080902099609e-06
#23,upernet_vit-b16_ln_mln_512x512_160k_ade20k,76,"{'input_size': [[512]], 'dim': [], 'keepdim': []}",1.2199878692626954e-05
#24,upernet_vit-b16_ln_mln_512x512_160k_ade20k,20,"{'input_size': [[2, 512, 512]], 'dim': [], 'keepdim': []}",8.995532989501952e-06
#25,upernet_vit-b16_ln_mln_512x512_160k_ade20k,21,"{'input_size': [[512, 768, 1, 1]], 'dim': [], 'keepdim': []}",9.317398071289062e-06
#26,upernet_vit-b16_ln_mln_512x512_160k_ade20k,166,"{'input_size': [[768]], 'dim': [], 'keepdim': []}",1.1975765228271484e-05
#27,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[2304, 768]], 'dim': [], 'keepdim': []}",9.2315673828125e-06
#28,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[2304]], 'dim': [], 'keepdim': []}",9.407997131347656e-06
#29,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[768, 768]], 'dim': [], 'keepdim': []}",1.2311935424804688e-05
#30,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[3072, 768]], 'dim': [], 'keepdim': []}",9.21010971069336e-06
#31,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[3072]], 'dim': [], 'keepdim': []}",1.2063980102539063e-05
#32,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[768, 3072]], 'dim': [], 'keepdim': []}",9.30309295654297e-06
#33,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,16,"{'input_size': [[1536]], 'dim': [], 'keepdim': []}",9.305477142333985e-06
#34,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,34,"{'input_size': [[96]], 'dim': [], 'keepdim': []}",1.2080669403076172e-05
#35,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,12,"{'input_size': [[1152]], 'dim': [], 'keepdim': []}",1.1861324310302734e-05
#36,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,60,"{'input_size': [[]], 'dim': [], 'keepdim': []}",9.350776672363281e-06
#37,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,14,"{'input_size': [[1024]], 'dim': [], 'keepdim': []}",1.2583732604980469e-05
#38,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,35,"{'input_size': [[256, 256, 3, 3]], 'dim': [], 'keepdim': []}",8.945465087890626e-06
#39,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,50,"{'input_size': [[256]], 'dim': [], 'keepdim': []}",9.3841552734375e-06
#40,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,84,"{'input_size': [[384]], 'dim': [], 'keepdim': []}",9.050369262695313e-06
#41,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,36,"{'input_size': [[768]], 'dim': [], 'keepdim': []}",1.512289047241211e-05
#42,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,28,"{'input_size': [[192]], 'dim': [], 'keepdim': []}",1.1911392211914063e-05
#43,ssd300_coco,9,"{'input_size': [[24]], 'dim': [], 'keepdim': []}",1.7001628875732422e-05
#44,ssd300_coco,10,"{'input_size': [[128, 256, 1, 1]], 'dim': [], 'keepdim': []}",9.493827819824219e-06
#45,ssd300_coco,18,"{'input_size': [[256, 128, 3, 3]], 'dim': [], 'keepdim': []}",9.028911590576171e-06
#46,ssd300_coco,9,"{'input_size': [[16]], 'dim': [], 'keepdim': []}",9.238719940185547e-06
#47,ssd300_coco,21,"{'input_size': [[128]], 'dim': [], 'keepdim': []}",9.407997131347656e-06
#48,ssd300_coco,10,"{'input_size': [[]], 'dim': [], 'keepdim': []}",9.396076202392577e-06
#49,ssd300_coco,15,"{'input_size': [[512, 512, 3, 3]], 'dim': [], 'keepdim': []}",9.341239929199219e-06
#50,ssd300_coco,29,"{'input_size': [[256]], 'dim': [], 'keepdim': []}",9.372234344482422e-06
#51,ssd300_coco,10,"{'input_size': [[1]], 'dim': [], 'keepdim': []}",9.102821350097656e-06
#52,ssd300_coco,29,"{'input_size': [[512]], 'dim': [], 'keepdim': []}",1.2202262878417969e-05
#53,resnet18_8xb16_cifar10,4,"{'input_size': [[64, 3, 3, 3]], 'dim': [], 'keepdim': []}",9.436607360839843e-06
#54,resnet18_8xb16_cifar10,40,"{'input_size': [[64]], 'dim': [], 'keepdim': []}",1.183032989501953e-05
#55,resnet18_8xb16_cifar10,16,"{'input_size': [[64, 64, 3, 3]], 'dim': [], 'keepdim': []}",9.176731109619141e-06
#56,resnet18_8xb16_cifar10,5,"{'input_size': [[]], 'dim': [], 'keepdim': []}",9.386539459228515e-06
#57,resnet18_8xb16_cifar10,40,"{'input_size': [[128]], 'dim': [], 'keepdim': []}",9.13381576538086e-06
#58,resnet18_8xb16_cifar10,12,"{'input_size': [[128, 128, 3, 3]], 'dim': [], 'keepdim': []}",9.016990661621094e-06
#59,resnet18_8xb16_cifar10,12,"{'input_size': [[512, 512, 3, 3]], 'dim': [], 'keepdim': []}",1.0089874267578125e-05
#60,resnet18_8xb16_cifar10,40,"{'input_size': [[512]], 'dim': [], 'keepdim': []}",0.00024652719497680664
#61,resnet18_8xb16_cifar10,40,"{'input_size': [[256]], 'dim': [], 'keepdim': []}",1.5764236450195314e-05
#62,resnet18_8xb16_cifar10,12,"{'input_size': [[256, 256, 3, 3]], 'dim': [], 'keepdim': []}",1.4560222625732422e-05
#63,vgg19bn_8xb32_cifar10,5,"{'input_size': [[64, 3, 3, 3]], 'dim': [], 'keepdim': []}",9.391307830810547e-06
#64,vgg19bn_8xb32_cifar10,30,"{'input_size': [[64]], 'dim': [], 'keepdim': []}",9.431838989257813e-06
#65,vgg19bn_8xb32_cifar10,5,"{'input_size': [[64, 64, 3, 3]], 'dim': [], 'keepdim': []}",9.577274322509766e-06
#66,vgg19bn_8xb32_cifar10,5,"{'input_size': [[128, 64, 3, 3]], 'dim': [], 'keepdim': []}",9.11712646484375e-06
#67,vgg19bn_8xb32_cifar10,30,"{'input_size': [[128]], 'dim': [], 'keepdim': []}",1.4493465423583984e-05
#68,vgg19bn_8xb32_cifar10,10,"{'input_size': [[4096]], 'dim': [], 'keepdim': []}",9.88006591796875e-06
#69,vgg19bn_8xb32_cifar10,35,"{'input_size': [[512, 512, 3, 3]], 'dim': [], 'keepdim': []}",9.434223175048828e-06
#70,vgg19bn_8xb32_cifar10,60,"{'input_size': [[256]], 'dim': [], 'keepdim': []}",1.073598861694336e-05
#71,vgg19bn_8xb32_cifar10,15,"{'input_size': [[256, 256, 3, 3]], 'dim': [], 'keepdim': []}",1.2176036834716797e-05
#72,vgg19bn_8xb32_cifar10,120,"{'input_size': [[512]], 'dim': [], 'keepdim': []}",9.412765502929687e-06
#73,faster_rcnn_r50_fpn_1x_coco,60,"{'input_size': [[]], 'dim': [], 'keepdim': []}",8.82863998413086e-06
#74,faster_rcnn_r50_fpn_1x_coco,42,"{'input_size': [[64]], 'dim': [], 'keepdim': []}",9.34600830078125e-06
#75,faster_rcnn_r50_fpn_1x_coco,24,"{'input_size': [[2048]], 'dim': [], 'keepdim': []}",1.1930465698242187e-05
#76,faster_rcnn_r50_fpn_1x_coco,33,"{'input_size': [[256, 256, 3, 3]], 'dim': [], 'keepdim': []}",9.04083251953125e-06
#77,faster_rcnn_r50_fpn_1x_coco,18,"{'input_size': [[256, 1024, 1, 1]], 'dim': [], 'keepdim': []}",8.955001831054688e-06
#78,faster_rcnn_r50_fpn_1x_coco,123,"{'input_size': [[256]], 'dim': [], 'keepdim': []}",9.24825668334961e-06
#79,faster_rcnn_r50_fpn_1x_coco,56,"{'input_size': [[1024]], 'dim': [], 'keepdim': []}",1.294851303100586e-05
#80,faster_rcnn_r50_fpn_1x_coco,18,"{'input_size': [[1024, 256, 1, 1]], 'dim': [], 'keepdim': []}",8.79526138305664e-06
#81,faster_rcnn_r50_fpn_1x_coco,48,"{'input_size': [[128]], 'dim': [], 'keepdim': []}",8.971691131591797e-06
#82,faster_rcnn_r50_fpn_1x_coco,66,"{'input_size': [[512]], 'dim': [], 'keepdim': []}",9.043216705322266e-06
#83,mobilenet-v2_8xb32_cifar10,48,"{'input_size': [[576]], 'dim': [], 'keepdim': []}",8.766651153564454e-06
#84,mobilenet-v2_8xb32_cifar10,42,"{'input_size': [[32]], 'dim': [], 'keepdim': []}",4.2331218719482425e-05
#85,mobilenet-v2_8xb32_cifar10,16,"{'input_size': [[24]], 'dim': [], 'keepdim': []}",8.895397186279297e-06
#86,mobilenet-v2_8xb32_cifar10,48,"{'input_size': [[192]], 'dim': [], 'keepdim': []}",9.181499481201171e-06
#87,mobilenet-v2_8xb32_cifar10,24,"{'input_size': [[160]], 'dim': [], 'keepdim': []}",1.961946487426758e-05
#88,mobilenet-v2_8xb32_cifar10,32,"{'input_size': [[64]], 'dim': [], 'keepdim': []}",9.410381317138672e-06
#89,mobilenet-v2_8xb32_cifar10,40,"{'input_size': [[96]], 'dim': [], 'keepdim': []}",1.748085021972656e-05
#90,mobilenet-v2_8xb32_cifar10,64,"{'input_size': [[384]], 'dim': [], 'keepdim': []}",9.343624114990234e-06
#91,mobilenet-v2_8xb32_cifar10,32,"{'input_size': [[144]], 'dim': [], 'keepdim': []}",1.199483871459961e-05
#92,mobilenet-v2_8xb32_cifar10,48,"{'input_size': [[960]], 'dim': [], 'keepdim': []}",9.009838104248047e-06
#93,seresnet50_8xb32_cifar10,104,"{'input_size': [[512]], 'dim': [], 'keepdim': []}",9.319782257080079e-06
#94,seresnet50_8xb32_cifar10,80,"{'input_size': [[64]], 'dim': [], 'keepdim': []}",4.266023635864258e-05
#95,seresnet50_8xb32_cifar10,76,"{'input_size': [[128]], 'dim': [], 'keepdim': []}",9.34600830078125e-06
#96,seresnet50_8xb32_cifar10,44,"{'input_size': [[2048]], 'dim': [], 'keepdim': []}",1.6238689422607422e-05
#97,seresnet50_8xb32_cifar10,24,"{'input_size': [[1024, 64, 1, 1]], 'dim': [], 'keepdim': []}",9.479522705078125e-06
#98,seresnet50_8xb32_cifar10,140,"{'input_size': [[256]], 'dim': [], 'keepdim': []}",9.40084457397461e-06
#99,seresnet50_8xb32_cifar10,24,"{'input_size': [[64, 1024, 1, 1]], 'dim': [], 'keepdim': []}",9.202957153320313e-06
#100,seresnet50_8xb32_cifar10,24,"{'input_size': [[1024, 256, 1, 1]], 'dim': [], 'keepdim': []}",9.160041809082032e-06
#101,seresnet50_8xb32_cifar10,24,"{'input_size': [[256, 256, 3, 3]], 'dim': [], 'keepdim': []}",1.3482570648193359e-05
