id,source_neural_network,num_of_calls,parameters,running_time
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,50,{'input_size': [[32]]},5.748271942138672e-06
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,72,{'input_size': [[]]},5.710124969482422e-06
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,60,{'input_size': [[960]]},5.764961242675781e-06
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,190,{'input_size': [[96]]},4.500150680541992e-05
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,30,{'input_size': [[160]]},5.698204040527343e-06
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,40,{'input_size': [[144]]},7.025480270385743e-05
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,120,{'input_size': [[192]]},5.5909156799316405e-06
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,40,{'input_size': [[64]]},7.636547088623047e-06
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,80,{'input_size': [[384]]},1.1446475982666015e-05
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,60,{'input_size': [[576]]},5.655288696289062e-06
#10,shufflenet-v2-1x_16xb64_cifar10,20,{'input_size': [[24]]},5.6695938110351565e-06
#11,shufflenet-v2-1x_16xb64_cifar10,56,{'input_size': [[]]},5.664825439453125e-06
#12,shufflenet-v2-1x_16xb64_cifar10,130,{'input_size': [[58]]},5.636215209960938e-06
#13,shufflenet-v2-1x_16xb64_cifar10,260,{'input_size': [[116]]},5.686283111572266e-06
#14,shufflenet-v2-1x_16xb64_cifar10,140,{'input_size': [[232]]},5.8507919311523435e-06
#15,shufflenet-v2-1x_16xb64_cifar10,36,"{'input_size': [[232, 232, 1, 1]]}",5.7053565979003906e-06
#16,shufflenet-v2-1x_16xb64_cifar10,68,"{'input_size': [[116, 116, 1, 1]]}",5.753040313720703e-06
#17,shufflenet-v2-1x_16xb64_cifar10,20,"{'input_size': [[232, 1, 3, 3]]}",5.748271942138672e-06
#18,shufflenet-v2-1x_16xb64_cifar10,36,"{'input_size': [[116, 1, 3, 3]]}",5.791187286376953e-06
#19,shufflenet-v2-1x_16xb64_cifar10,28,"{'input_size': [[58, 58, 1, 1]]}",5.8126449584960935e-06
#20,stgcn_80e_ntu60_xsub_keypoint,237,{'input_size': [[384]]},5.640983581542969e-06
#21,stgcn_80e_ntu60_xsub_keypoint,237,{'input_size': [[768]]},7.264614105224609e-06
#22,stgcn_80e_ntu60_xsub_keypoint,1596,{'input_size': [[64]]},5.748271942138672e-06
#23,stgcn_80e_ntu60_xsub_keypoint,1436,{'input_size': [[128]]},5.7077407836914066e-06
#24,stgcn_80e_ntu60_xsub_keypoint,1436,{'input_size': [[256]]},6.787776947021484e-06
#25,stgcn_80e_ntu60_xsub_keypoint,237,"{'input_size': [[192, 64, 1, 1]]}",5.788803100585938e-06
#26,stgcn_80e_ntu60_xsub_keypoint,316,{'input_size': [[192]]},7.052421569824218e-06
#27,stgcn_80e_ntu60_xsub_keypoint,316,"{'input_size': [[64, 64, 9, 1]]}",1.1408329010009766e-05
#28,stgcn_80e_ntu60_xsub_keypoint,237,"{'input_size': [[128, 128, 9, 1]]}",5.578994750976562e-06
#29,stgcn_80e_ntu60_xsub_keypoint,790,"{'input_size': [[3, 17, 17]]}",5.662441253662109e-06
#30,hrnet_w32_coco_256x192_coarsedropout,1840,{'input_size': [[64]]},5.619525909423828e-06
#31,hrnet_w32_coco_256x192_coarsedropout,292,{'input_size': [[]]},9.403228759765624e-06
#32,hrnet_w32_coco_256x192_coarsedropout,720,{'input_size': [[256]]},5.769729614257812e-06
#33,hrnet_w32_coco_256x192_coarsedropout,1860,{'input_size': [[32]]},5.681514739990234e-06
#34,hrnet_w32_coco_256x192_coarsedropout,1420,{'input_size': [[128]]},5.750656127929688e-06
#35,hrnet_w32_coco_256x192_coarsedropout,504,"{'input_size': [[128, 128, 3, 3]]}",5.700588226318359e-06
#36,hrnet_w32_coco_256x192_coarsedropout,639,"{'input_size': [[64, 64, 3, 3]]}",5.753040313720703e-06
#37,hrnet_w32_coco_256x192_coarsedropout,666,"{'input_size': [[32, 32, 3, 3]]}",5.681514739990234e-06
#38,hrnet_w32_coco_256x192_coarsedropout,72,"{'input_size': [[32, 64, 1, 1]]}",5.662441253662109e-06
#39,hrnet_w32_coco_256x192_coarsedropout,216,"{'input_size': [[256, 256, 3, 3]]}",5.79833984375e-06
#40,upernet_vit-b16_ln_mln_512x512_160k_ade20k,772,{'input_size': [[768]]},5.686283111572266e-06
#41,upernet_vit-b16_ln_mln_512x512_160k_ade20k,264,{'input_size': [[512]]},5.583763122558594e-06
#42,upernet_vit-b16_ln_mln_512x512_160k_ade20k,36,"{'input_size': [[768, 768, 1, 1]]}",5.762577056884766e-06
#43,upernet_vit-b16_ln_mln_512x512_160k_ade20k,63,"{'input_size': [[512, 768, 1, 1]]}",5.724430084228516e-06
#44,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,"{'input_size': [[768, 3072]]}",5.817413330078125e-06
#45,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,{'input_size': [[3072]]},5.865097045898438e-06
#46,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,"{'input_size': [[3072, 768]]}",5.915164947509765e-06
#47,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,"{'input_size': [[2304, 768]]}",5.881786346435547e-06
#48,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,{'input_size': [[2304]]},5.83648681640625e-06
#49,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,"{'input_size': [[768, 768]]}",5.784034729003907e-06
#50,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,74,{'input_size': [[96]]},5.571842193603516e-06
#51,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,182,{'input_size': [[384]]},0.00036952733993530275
#52,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,78,{'input_size': [[768]]},6.276130676269531e-05
#53,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,61,{'input_size': [[192]]},5.772113800048828e-06
#54,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,24,{'input_size': [[1152]]},5.676746368408203e-06
#55,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,24,"{'input_size': [[1152, 384]]}",5.7387351989746094e-06
#56,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,24,"{'input_size': [[169, 12]]}",5.652904510498047e-06
#57,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,36,"{'input_size': [[256, 256, 3, 3]]}",5.714893341064453e-06
#58,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,56,{'input_size': [[256]]},5.9223175048828125e-06
#59,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,33,{'input_size': [[1536]]},5.8841705322265624e-06
#60,ssd300_coco,18,{'input_size': [[64]]},5.881786346435547e-06
#61,ssd300_coco,27,{'input_size': [[16]]},5.614757537841797e-06
#62,ssd300_coco,36,"{'input_size': [[256, 128, 3, 3]]}",5.691051483154297e-06
#63,ssd300_coco,27,{'input_size': [[24]]},1.1055469512939453e-05
#64,ssd300_coco,45,{'input_size': [[128]]},5.652904510498047e-06
#65,ssd300_coco,27,{'input_size': [[324]]},5.8531761169433595e-06
#66,ssd300_coco,45,"{'input_size': [[512, 512, 3, 3]]}",5.848407745361328e-06
#67,ssd300_coco,63,{'input_size': [[256]]},5.745887756347657e-06
#68,ssd300_coco,27,{'input_size': [[486]]},5.834102630615234e-06
#69,ssd300_coco,72,{'input_size': [[512]]},5.822181701660157e-06
#70,resnet18_8xb16_cifar10,50,{'input_size': [[64]]},5.695819854736328e-06
#71,resnet18_8xb16_cifar10,20,{'input_size': [[]]},5.855560302734375e-06
#72,resnet18_8xb16_cifar10,50,{'input_size': [[128]]},5.743503570556641e-06
#73,resnet18_8xb16_cifar10,50,{'input_size': [[256]]},5.784034729003907e-06
#74,resnet18_8xb16_cifar10,50,{'input_size': [[512]]},5.779266357421875e-06
#75,resnet18_8xb16_cifar10,4,"{'input_size': [[64, 3, 3, 3]]}",5.7220458984375e-06
#76,resnet18_8xb16_cifar10,16,"{'input_size': [[64, 64, 3, 3]]}",5.810260772705078e-06
#77,resnet18_8xb16_cifar10,12,"{'input_size': [[512, 512, 3, 3]]}",3.693819046020508e-05
#78,resnet18_8xb16_cifar10,12,"{'input_size': [[128, 128, 3, 3]]}",5.726814270019531e-06
#79,resnet18_8xb16_cifar10,12,"{'input_size': [[256, 256, 3, 3]]}",6.833076477050781e-06
#80,vgg19bn_8xb32_cifar10,28,{'input_size': [[64]]},5.657672882080078e-06
#81,vgg19bn_8xb32_cifar10,16,{'input_size': [[]]},5.729198455810547e-06
#82,vgg19bn_8xb32_cifar10,28,{'input_size': [[128]]},5.662441253662109e-06
#83,vgg19bn_8xb32_cifar10,56,{'input_size': [[256]]},5.7768821716308595e-06
#84,vgg19bn_8xb32_cifar10,112,{'input_size': [[512]]},5.681514739990234e-06
#85,vgg19bn_8xb32_cifar10,4,"{'input_size': [[64, 3, 3, 3]]}",1.4040470123291016e-05
#86,vgg19bn_8xb32_cifar10,4,"{'input_size': [[64, 64, 3, 3]]}",5.686283111572266e-06
#87,vgg19bn_8xb32_cifar10,8,{'input_size': [[4096]]},5.698204040527343e-06
#88,vgg19bn_8xb32_cifar10,28,"{'input_size': [[512, 512, 3, 3]]}",5.7220458984375e-06
#89,vgg19bn_8xb32_cifar10,12,"{'input_size': [[256, 256, 3, 3]]}",5.6672096252441405e-06
#90,faster_rcnn_r50_fpn_1x_coco,16,"{'input_size': [[128, 128, 3, 3]]}",5.602836608886719e-06
