id,source_neural_network,num_of_calls,parameters,running_time
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,10,"{'input_size': [[32]], 'value': [[1]], 'dtype': []}",1.0001659393310548e-05
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,52,"{'input_size': [[96]], 'value': [[1]], 'dtype': []}",9.818077087402344e-06
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,18,"{'input_size': [[192]], 'value': [[0]], 'dtype': []}",1.0459423065185546e-05
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[960]], 'value': [[1]], 'dtype': []}",9.93490219116211e-06
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[192]], 'value': [[1.0]], 'dtype': []}",9.870529174804687e-06
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,33,"{'input_size': [[96]], 'value': [[0]], 'dtype': []}",9.667873382568359e-06
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,19,"{'input_size': [[96]], 'value': [[1.0]], 'dtype': []}",9.658336639404296e-06
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,30,"{'input_size': [[192]], 'value': [[1]], 'dtype': []}",9.67264175415039e-06
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,16,"{'input_size': [[384]], 'value': [[1]], 'dtype': []}",9.622573852539062e-06
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[576]], 'value': [[1]], 'dtype': []}",9.593963623046875e-06
#10,shufflenet-v2-1x_16xb64_cifar10,5,"{'input_size': [[24]], 'value': [[1]], 'dtype': []}",9.577274322509766e-06
#11,shufflenet-v2-1x_16xb64_cifar10,28,"{'input_size': [[232]], 'value': [[0]], 'dtype': []}",9.648799896240234e-06
#12,shufflenet-v2-1x_16xb64_cifar10,14,"{'input_size': [[232]], 'value': [[1.0]], 'dtype': []}",9.584426879882813e-06
#13,shufflenet-v2-1x_16xb64_cifar10,26,"{'input_size': [[58]], 'value': [[1]], 'dtype': []}",9.806156158447266e-06
#14,shufflenet-v2-1x_16xb64_cifar10,13,"{'input_size': [[58]], 'value': [[1.0]], 'dtype': []}",9.338855743408204e-06
#15,shufflenet-v2-1x_16xb64_cifar10,26,"{'input_size': [[58]], 'value': [[0]], 'dtype': []}",9.534358978271485e-06
#16,shufflenet-v2-1x_16xb64_cifar10,52,"{'input_size': [[116]], 'value': [[1]], 'dtype': []}",9.458065032958985e-06
#17,shufflenet-v2-1x_16xb64_cifar10,26,"{'input_size': [[116]], 'value': [[1.0]], 'dtype': []}",9.615421295166015e-06
#18,shufflenet-v2-1x_16xb64_cifar10,52,"{'input_size': [[116]], 'value': [[0]], 'dtype': []}",9.341239929199219e-06
