id,source_neural_network,num_of_calls,parameters,running_time
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,1,"{'max1': [[2, 1, 2]], 'max2': [[1, 5733, 2]]}",2.679109573364258e-05
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,1,"{'max1': [[2, 5733]], 'max2': [[1]]}",2.0177364349365233e-05
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[2, 5733]], 'max2': []}",1.950502395629883e-05
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[4, 6048]], 'max2': []}",1.9946098327636718e-05
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,2,"{'max1': [[1, 6240]], 'max2': []}",4.557132720947265e-05
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,2,"{'max1': [[1, 1560]], 'max2': []}",2.2330284118652343e-05
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,2,"{'max1': [[1, 390]], 'max2': []}",2.1920204162597656e-05
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[13, 8190]], 'max2': []}",2.7861595153808594e-05
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[4, 8190]], 'max2': []}",2.0873546600341796e-05
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[1, 9828]], 'max2': []}",2.1891593933105467e-05
#10,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[2, 217413]], 'max2': []}",2.072572708129883e-05
#11,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[4, 1000]], 'max2': []}",2.0356178283691405e-05
#12,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[14, 242991]], 'max2': []}",2.1669864654541016e-05
#13,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[8741, 4]], 'max2': []}",1.8219947814941407e-05
#14,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[4, 217413]], 'max2': []}",1.854419708251953e-05
#15,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[31, 1000]], 'max2': []}",1.8100738525390625e-05
#16,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[14, 1000]], 'max2': []}",2.1703243255615235e-05
#17,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[31, 242991]], 'max2': []}",1.867532730102539e-05
#18,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,5,"{'max1': [[6]], 'max2': []}",2.039670944213867e-05
#19,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,5,"{'max1': [[24]], 'max2': []}",2.0885467529296874e-05
#20,ssd300_coco,2,"{'max1': [[13, 1, 2]], 'max2': [[1, 8732, 2]]}",1.8906593322753906e-05
#21,ssd300_coco,2,"{'max1': [[4, 8732]], 'max2': []}",2.1214485168457032e-05
#22,ssd300_coco,2,"{'max1': [[11, 8732]], 'max2': []}",2.027273178100586e-05
#23,ssd300_coco,2,"{'max1': [[3, 8732]], 'max2': []}",2.0782947540283204e-05
#24,ssd300_coco,2,"{'max1': [[7, 8732]], 'max2': []}",2.0630359649658203e-05
#25,ssd300_coco,4,"{'max1': [[13, 8732]], 'max2': []}",2.123117446899414e-05
#26,ssd300_coco,2,"{'max1': [[28, 8732]], 'max2': []}",2.131462097167969e-05
#27,ssd300_coco,2,"{'max1': [[2, 8732]], 'max2': []}",2.008199691772461e-05
#28,ssd300_coco,2,"{'max1': [[5, 8732]], 'max2': []}",2.131938934326172e-05
#29,ssd300_coco,2,"{'max1': [[6, 8732]], 'max2': []}",2.0771026611328126e-05
#30,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[2, 1000]], 'max2': [[1]]}",1.9757747650146485e-05
#31,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[2, 1, 2]], 'max2': [[1, 1000, 2]]}",2.1581649780273437e-05
#32,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[3, 217413]], 'max2': []}",2.1331310272216797e-05
#33,faster_rcnn_r50_fpn_1x_coco,3,"{'max1': [[8663, 4]], 'max2': []}",2.7947425842285156e-05
#34,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[2, 255780]], 'max2': []}",2.2220611572265626e-05
#35,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[1, 1000]], 'max2': []}",2.150297164916992e-05
#36,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[3, 1000]], 'max2': []}",2.148151397705078e-05
#37,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[1, 217413]], 'max2': []}",9.218931198120118e-05
#38,faster_rcnn_r50_fpn_1x_coco,4,"{'max1': [[2, 1000]], 'max2': []}",2.0041465759277344e-05
#39,faster_rcnn_r50_fpn_1x_coco,2,"{'max1': [[2, 242991]], 'max2': []}",2.6903152465820313e-05
#40,centernet_resnet18_140e_coco,168,"{'max1': [[7, 7]], 'max2': [[7, 7]]}",6.339311599731445e-05
#41,centernet_resnet18_140e_coco,168,"{'max1': [[7, 7]], 'max2': []}",2.015352249145508e-05
#42,centernet_resnet18_140e_coco,102,"{'max1': [[9, 9]], 'max2': [[9, 9]]}",2.2349357604980468e-05
#43,centernet_resnet18_140e_coco,102,"{'max1': [[9, 9]], 'max2': []}",2.1626949310302733e-05
#44,centernet_resnet18_140e_coco,427,"{'max1': [[1, 1]], 'max2': [[1, 1]]}",2.0227432250976563e-05
#45,centernet_resnet18_140e_coco,427,"{'max1': [[1, 1]], 'max2': []}",2.617597579956055e-05
#46,centernet_resnet18_140e_coco,236,"{'max1': [[5, 5]], 'max2': [[5, 5]]}",2.0041465759277344e-05
#47,centernet_resnet18_140e_coco,236,"{'max1': [[5, 5]], 'max2': []}",2.027273178100586e-05
