id,source_neural_network,num_of_calls,parameters,running_time
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,50,{'input_size': [[32]]},9.901523590087891e-06
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,72,{'input_size': [[]]},1.066446304321289e-05
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,60,{'input_size': [[960]]},1.0457038879394531e-05
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,190,{'input_size': [[96]]},8.131980895996093e-05
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,30,{'input_size': [[160]]},9.901523590087891e-06
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,40,{'input_size': [[144]]},0.0001286959648132324
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,120,{'input_size': [[192]]},9.331703186035156e-06
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,40,{'input_size': [[64]]},1.0924339294433594e-05
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,80,{'input_size': [[384]]},1.830577850341797e-05
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,60,{'input_size': [[576]]},9.722709655761719e-06
#10,shufflenet-v2-1x_16xb64_cifar10,20,{'input_size': [[24]]},1.0988712310791016e-05
#11,shufflenet-v2-1x_16xb64_cifar10,56,{'input_size': [[]]},1.0192394256591797e-05
#12,shufflenet-v2-1x_16xb64_cifar10,130,{'input_size': [[58]]},9.899139404296876e-06
#13,shufflenet-v2-1x_16xb64_cifar10,260,{'input_size': [[116]]},9.615421295166015e-06
#14,shufflenet-v2-1x_16xb64_cifar10,140,{'input_size': [[232]]},1.0166168212890625e-05
#15,shufflenet-v2-1x_16xb64_cifar10,36,"{'input_size': [[232, 232, 1, 1]]}",9.667873382568359e-06
#16,shufflenet-v2-1x_16xb64_cifar10,68,"{'input_size': [[116, 116, 1, 1]]}",1.0004043579101563e-05
#17,shufflenet-v2-1x_16xb64_cifar10,20,"{'input_size': [[232, 1, 3, 3]]}",1.0118484497070312e-05
#18,shufflenet-v2-1x_16xb64_cifar10,36,"{'input_size': [[116, 1, 3, 3]]}",9.531974792480468e-06
#19,shufflenet-v2-1x_16xb64_cifar10,28,"{'input_size': [[58, 58, 1, 1]]}",9.84668731689453e-06
#20,stgcn_80e_ntu60_xsub_keypoint,237,{'input_size': [[384]]},9.95159149169922e-06
#21,stgcn_80e_ntu60_xsub_keypoint,237,{'input_size': [[768]]},1.0285377502441406e-05
#22,stgcn_80e_ntu60_xsub_keypoint,1596,{'input_size': [[64]]},9.67264175415039e-06
#23,stgcn_80e_ntu60_xsub_keypoint,1436,{'input_size': [[128]]},9.655952453613281e-06
#24,stgcn_80e_ntu60_xsub_keypoint,1436,{'input_size': [[256]]},1.0130405426025391e-05
#25,stgcn_80e_ntu60_xsub_keypoint,237,"{'input_size': [[192, 64, 1, 1]]}",1.0113716125488282e-05
#26,stgcn_80e_ntu60_xsub_keypoint,316,{'input_size': [[192]]},1.0190010070800782e-05
#27,stgcn_80e_ntu60_xsub_keypoint,316,"{'input_size': [[64, 64, 9, 1]]}",1.847982406616211e-05
#28,stgcn_80e_ntu60_xsub_keypoint,237,"{'input_size': [[128, 128, 9, 1]]}",9.791851043701172e-06
#29,stgcn_80e_ntu60_xsub_keypoint,790,"{'input_size': [[3, 17, 17]]}",9.894371032714844e-06
#30,hrnet_w32_coco_256x192_coarsedropout,1840,{'input_size': [[64]]},1.0206699371337891e-05
#31,hrnet_w32_coco_256x192_coarsedropout,292,{'input_size': [[]]},1.4386177062988282e-05
#32,hrnet_w32_coco_256x192_coarsedropout,720,{'input_size': [[256]]},9.899139404296876e-06
#33,hrnet_w32_coco_256x192_coarsedropout,1860,{'input_size': [[32]]},9.684562683105468e-06
#34,hrnet_w32_coco_256x192_coarsedropout,1420,{'input_size': [[128]]},1.0290145874023437e-05
#35,hrnet_w32_coco_256x192_coarsedropout,504,"{'input_size': [[128, 128, 3, 3]]}",9.789466857910157e-06
#36,hrnet_w32_coco_256x192_coarsedropout,639,"{'input_size': [[64, 64, 3, 3]]}",1.0657310485839844e-05
#37,hrnet_w32_coco_256x192_coarsedropout,666,"{'input_size': [[32, 32, 3, 3]]}",1.0633468627929688e-05
#38,hrnet_w32_coco_256x192_coarsedropout,72,"{'input_size': [[32, 64, 1, 1]]}",9.729862213134766e-06
#39,hrnet_w32_coco_256x192_coarsedropout,216,"{'input_size': [[256, 256, 3, 3]]}",9.720325469970704e-06
