id,source_neural_network,num_of_calls,parameters,running_time
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,10,"{'input_size': [[32]], 'value': [[1]], 'dtype': []}",8.852481842041016e-06
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,52,"{'input_size': [[96]], 'value': [[1]], 'dtype': []}",8.885860443115235e-06
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,18,"{'input_size': [[192]], 'value': [[0]], 'dtype': []}",8.933544158935547e-06
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[960]], 'value': [[1]], 'dtype': []}",8.857250213623047e-06
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[192]], 'value': [[1.0]], 'dtype': []}",8.852481842041016e-06
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,33,"{'input_size': [[96]], 'value': [[0]], 'dtype': []}",8.885860443115235e-06
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,19,"{'input_size': [[96]], 'value': [[1.0]], 'dtype': []}",8.790493011474609e-06
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,30,"{'input_size': [[192]], 'value': [[1]], 'dtype': []}",8.771419525146484e-06
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,16,"{'input_size': [[384]], 'value': [[1]], 'dtype': []}",8.804798126220703e-06
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[576]], 'value': [[1]], 'dtype': []}",8.831024169921875e-06
#10,shufflenet-v2-1x_16xb64_cifar10,5,"{'input_size': [[24]], 'value': [[1]], 'dtype': []}",8.771419525146484e-06
#11,shufflenet-v2-1x_16xb64_cifar10,28,"{'input_size': [[232]], 'value': [[0]], 'dtype': []}",8.668899536132812e-06
#12,shufflenet-v2-1x_16xb64_cifar10,14,"{'input_size': [[232]], 'value': [[1.0]], 'dtype': []}",8.730888366699218e-06
