id,source_neural_network,num_of_calls,parameters,running_time
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,1,"{'max1': [[2, 1, 2]], 'max2': [[1, 5733, 2]]}",2.0399093627929688e-05
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,1,"{'max1': [[2, 5733]], 'max2': [[1]]}",1.7523765563964844e-05
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[2, 5733]], 'max2': []}",1.415252685546875e-05
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[4, 6048]], 'max2': []}",1.5492439270019532e-05
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,2,"{'max1': [[1, 6240]], 'max2': []}",6.112098693847657e-05
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,2,"{'max1': [[1, 1560]], 'max2': []}",1.5630722045898438e-05
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,2,"{'max1': [[1, 390]], 'max2': []}",1.5625953674316408e-05
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[13, 8190]], 'max2': []}",1.9893646240234374e-05
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[4, 8190]], 'max2': []}",1.4619827270507813e-05
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,3,"{'max1': [[1, 9828]], 'max2': []}",1.6896724700927735e-05
#10,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[2, 217413]], 'max2': []}",1.4255046844482422e-05
#11,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[4, 1000]], 'max2': []}",2.8278827667236328e-05
#12,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[14, 242991]], 'max2': []}",1.5506744384765626e-05
#13,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[8741, 4]], 'max2': []}",1.3091564178466796e-05
#14,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[4, 217413]], 'max2': []}",1.3294219970703125e-05
#15,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[31, 1000]], 'max2': []}",1.3375282287597657e-05
#16,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[14, 1000]], 'max2': []}",1.5192031860351562e-05
#17,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'max1': [[31, 242991]], 'max2': []}",1.2981891632080079e-05
