id,source_neural_network,num_of_calls,parameters,running_time
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,50,{'input_size': [[32]]},8.778572082519531e-06
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,72,{'input_size': [[]]},8.919239044189452e-06
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,60,{'input_size': [[960]]},8.711814880371094e-06
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,190,{'input_size': [[96]]},0.00020483016967773438
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,30,{'input_size': [[160]]},8.897781372070313e-06
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,40,{'input_size': [[144]]},0.00032610416412353515
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,120,{'input_size': [[192]]},8.819103240966797e-06
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,40,{'input_size': [[64]]},2.4752616882324217e-05
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,80,{'input_size': [[384]]},4.301309585571289e-05
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,60,{'input_size': [[576]]},8.556842803955078e-06
#10,shufflenet-v2-1x_16xb64_cifar10,20,{'input_size': [[24]]},8.435249328613282e-06
#11,shufflenet-v2-1x_16xb64_cifar10,56,{'input_size': [[]]},8.580684661865235e-06
#12,shufflenet-v2-1x_16xb64_cifar10,130,{'input_size': [[58]]},8.356571197509765e-06
#13,shufflenet-v2-1x_16xb64_cifar10,260,{'input_size': [[116]]},8.399486541748046e-06
#14,shufflenet-v2-1x_16xb64_cifar10,140,{'input_size': [[232]]},8.747577667236328e-06
#15,shufflenet-v2-1x_16xb64_cifar10,36,"{'input_size': [[232, 232, 1, 1]]}",8.654594421386718e-06
#16,shufflenet-v2-1x_16xb64_cifar10,68,"{'input_size': [[116, 116, 1, 1]]}",8.840560913085937e-06
#17,shufflenet-v2-1x_16xb64_cifar10,20,"{'input_size': [[232, 1, 3, 3]]}",8.759498596191407e-06
