id,source_neural_network,num_of_calls,parameters,running_time,Mflops
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,10,"{'input_size': [[32]], 'value': [[1]], 'dtype': []}",1.310586929321289e-05,2.441654138621066
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,52,"{'input_size': [[96]], 'value': [[1]], 'dtype': []}",1.2733936309814452e-05,7.538910016850778
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,18,"{'input_size': [[192]], 'value': [[0]], 'dtype': []}",1.2862682342529298e-05,14.926902094531973
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[960]], 'value': [[1]], 'dtype': []}",1.2900829315185547e-05,74.4138207355387
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[192]], 'value': [[1.0]], 'dtype': []}",1.2834072113037109e-05,14.960177744751999
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,33,"{'input_size': [[96]], 'value': [[0]], 'dtype': []}",1.2934207916259766e-05,7.422178506912442
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,19,"{'input_size': [[96]], 'value': [[1.0]], 'dtype': []}",1.2845993041992188e-05,7.473147438752783
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,30,"{'input_size': [[192]], 'value': [[1]], 'dtype': []}",1.2762546539306641e-05,15.044019577806838
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,16,"{'input_size': [[384]], 'value': [[1]], 'dtype': []}",1.2791156768798828e-05,30.020740652376517
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,12,"{'input_size': [[576]], 'value': [[1]], 'dtype': []}",1.2793540954589843e-05,45.022719045844205
#10,shufflenet-v2-1x_16xb64_cifar10,5,"{'input_size': [[24]], 'value': [[1]], 'dtype': []}",1.2760162353515626e-05,1.8808538116591929
#11,shufflenet-v2-1x_16xb64_cifar10,28,"{'input_size': [[232]], 'value': [[0]], 'dtype': []}",1.2657642364501954e-05,18.32884776794123
#12,shufflenet-v2-1x_16xb64_cifar10,14,"{'input_size': [[232]], 'value': [[1.0]], 'dtype': []}",1.2729167938232422e-05,18.22585742648436
#13,shufflenet-v2-1x_16xb64_cifar10,26,"{'input_size': [[58]], 'value': [[1]], 'dtype': []}",1.2879371643066407e-05,4.5033252869307665
#14,shufflenet-v2-1x_16xb64_cifar10,13,"{'input_size': [[58]], 'value': [[1.0]], 'dtype': []}",1.2729167938232422e-05,4.55646435662109
#15,shufflenet-v2-1x_16xb64_cifar10,26,"{'input_size': [[58]], 'value': [[0]], 'dtype': []}",1.27410888671875e-05,4.5522011976047905
#16,shufflenet-v2-1x_16xb64_cifar10,52,"{'input_size': [[116]], 'value': [[1]], 'dtype': []}",1.27410888671875e-05,9.104402395209581
#17,shufflenet-v2-1x_16xb64_cifar10,26,"{'input_size': [[116]], 'value': [[1.0]], 'dtype': []}",1.2714862823486328e-05,9.123181398837428
#18,shufflenet-v2-1x_16xb64_cifar10,52,"{'input_size': [[116]], 'value': [[0]], 'dtype': []}",1.2834072113037109e-05,9.038440720787666
#19,shufflenet-v2-1x_16xb64_cifar10,28,"{'input_size': [[232]], 'value': [[1]], 'dtype': []}",1.2664794921875e-05,18.31849638554217
#20,stgcn_80e_ntu60_xsub_keypoint,11,"{'input_size': [[256]], 'value': [[0]], 'dtype': []}",1.2743473052978516e-05,20.088715135640783
#21,stgcn_80e_ntu60_xsub_keypoint,11,"{'input_size': [[128]], 'value': [[0]], 'dtype': []}",1.2903213500976562e-05,9.92000946045824
#22,stgcn_80e_ntu60_xsub_keypoint,16,"{'input_size': [[64]], 'value': [[1]], 'dtype': []}",1.2760162353515626e-05,5.015610164424514
#23,stgcn_80e_ntu60_xsub_keypoint,8,"{'input_size': [[64]], 'value': [[1.0]], 'dtype': []}",1.27410888671875e-05,5.023118562874251
#24,stgcn_80e_ntu60_xsub_keypoint,14,"{'input_size': [[128]], 'value': [[1]], 'dtype': []}",1.278400421142578e-05,10.0125123461395
#25,stgcn_80e_ntu60_xsub_keypoint,7,"{'input_size': [[128]], 'value': [[1.0]], 'dtype': []}",1.2688636779785156e-05,10.087766102968809
#26,stgcn_80e_ntu60_xsub_keypoint,14,"{'input_size': [[256]], 'value': [[1]], 'dtype': []}",1.2624263763427735e-05,20.278410273843246
#27,stgcn_80e_ntu60_xsub_keypoint,7,"{'input_size': [[256]], 'value': [[1.0]], 'dtype': []}",1.2683868408203126e-05,20.1831169924812
#28,stgcn_80e_ntu60_xsub_keypoint,4,"{'input_size': [[192]], 'value': [[0]], 'dtype': []}",1.2636184692382812e-05,15.194459773584907
#29,stgcn_80e_ntu60_xsub_keypoint,12,"{'input_size': [[64]], 'value': [[0]], 'dtype': []}",1.2693405151367188e-05,5.0419882794891056
#30,hrnet_w32_coco_256x192_coarsedropout,92,"{'input_size': [[64]], 'value': [[1]], 'dtype': []}",1.264333724975586e-05,5.061954667169526
#31,hrnet_w32_coco_256x192_coarsedropout,92,"{'input_size': [[64]], 'value': [[1.0]], 'dtype': []}",1.2743473052978516e-05,5.022178783910196
#32,hrnet_w32_coco_256x192_coarsedropout,36,"{'input_size': [[256]], 'value': [[1]], 'dtype': []}",1.28173828125e-05,19.97287619047619
#33,hrnet_w32_coco_256x192_coarsedropout,36,"{'input_size': [[256]], 'value': [[1.0]], 'dtype': []}",1.2803077697753907e-05,19.995192253258843
#34,hrnet_w32_coco_256x192_coarsedropout,93,"{'input_size': [[32]], 'value': [[1]], 'dtype': []}",1.2714862823486328e-05,2.5167396962310145
#35,hrnet_w32_coco_256x192_coarsedropout,93,"{'input_size': [[32]], 'value': [[1.0]], 'dtype': []}",1.28173828125e-05,2.4966095238095236
#36,hrnet_w32_coco_256x192_coarsedropout,71,"{'input_size': [[128]], 'value': [[1]], 'dtype': []}",1.278400421142578e-05,10.0125123461395
#37,hrnet_w32_coco_256x192_coarsedropout,71,"{'input_size': [[128]], 'value': [[1.0]], 'dtype': []}",1.2705326080322265e-05,10.074515143554137
#38,hrnet_w32_coco_256x192_coarsedropout,1,"{'input_size': [[17]], 'value': [[0]], 'dtype': []}",1.2698173522949218e-05,1.3387752159218926
#39,upernet_vit-b16_ln_mln_512x512_160k_ade20k,25,"{'input_size': [[768]], 'value': [[1.0]], 'dtype': []}",1.2726783752441407e-05,60.345175571375044
#40,upernet_vit-b16_ln_mln_512x512_160k_ade20k,12,"{'input_size': [[2304]], 'value': [[0.0]], 'dtype': []}",1.2831687927246094e-05,179.5554889632107
#41,upernet_vit-b16_ln_mln_512x512_160k_ade20k,12,"{'input_size': [[768]], 'value': [[0.0]], 'dtype': []}",1.2738704681396484e-05,60.28870432341382
#42,upernet_vit-b16_ln_mln_512x512_160k_ade20k,16,"{'input_size': [[768]], 'value': [[0]], 'dtype': []}",1.2717247009277345e-05,60.39042879640045
#43,upernet_vit-b16_ln_mln_512x512_160k_ade20k,38,"{'input_size': [[512]], 'value': [[1]], 'dtype': []}",1.2836456298828126e-05,39.886397622585434
#44,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[512]], 'value': [[1.0]], 'dtype': []}",1.2757778167724609e-05,40.13237989160905
#45,upernet_vit-b16_ln_mln_512x512_160k_ade20k,14,"{'input_size': [[512]], 'value': [[0]], 'dtype': []}",1.2874603271484375e-05,39.7682157037037
#46,upernet_vit-b16_ln_mln_512x512_160k_ade20k,3,"{'input_size': [[256]], 'value': [[1]], 'dtype': []}",1.2729167938232422e-05,20.11129095336205
#47,upernet_vit-b16_ln_mln_512x512_160k_ade20k,2,"{'input_size': [[256]], 'value': [[1.0]], 'dtype': []}",1.2700557708740235e-05,20.156595156748637
#48,upernet_vit-b16_ln_mln_512x512_160k_ade20k,2,"{'input_size': [[150]], 'value': [[0]], 'dtype': []}",1.2826919555664062e-05,11.694156133828995
#49,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,6,"{'input_size': [[96]], 'value': [[1.0]], 'dtype': []}",1.2738704681396484e-05,7.536088040426727
#50,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,14,"{'input_size': [[384]], 'value': [[1.0]], 'dtype': []}",1.2722015380859375e-05,30.183896851574215
#51,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,6,"{'input_size': [[768]], 'value': [[1.0]], 'dtype': []}",1.2710094451904297e-05,60.424413280810356
#52,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,5,"{'input_size': [[192]], 'value': [[1.0]], 'dtype': []}",1.2731552124023437e-05,15.080643595505618
#53,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,1,"{'input_size': [[1536]], 'value': [[1.0]], 'dtype': []}",1.2803077697753907e-05,119.97115351955307
#54,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,26,"{'input_size': [[256]], 'value': [[0]], 'dtype': []}",1.2862682342529298e-05,19.90253612604263
#55,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,1,"{'input_size': [[3]], 'value': [[0]], 'dtype': []}",1.2841224670410156e-05,0.23362257705161532
#56,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,1,"{'input_size': [[12]], 'value': [[0]], 'dtype': []}",1.2910366058349609e-05,0.9294856509695292
#57,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,1,"{'input_size': [[81]], 'value': [[0]], 'dtype': []}",1.286029815673828e-05,6.2984542825361505
#58,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'input_size': [[1024]], 'value': [[0]], 'dtype': []}",1.2910366058349609e-05,79.31610888273315
#59,ssd300_coco,8,"{'input_size': [[256]], 'value': [[0]], 'dtype': []}",1.2900829315185547e-05,19.84368552947699
#60,ssd300_coco,2,"{'input_size': [[512]], 'value': [[0]], 'dtype': []}",1.287698745727539e-05,39.76085258285503
#61,ssd300_coco,6,"{'input_size': [[128]], 'value': [[0]], 'dtype': []}",1.2958049774169922e-05,9.878029659613615
#62,ssd300_coco,1,"{'input_size': [[512]], 'value': [[20]], 'dtype': []}",1.2831687927246094e-05,39.90121976960238
#63,ssd300_coco,3,"{'input_size': [[324]], 'value': [[0]], 'dtype': []}",1.8110275268554686e-05,17.890396208530806
#64,ssd300_coco,3,"{'input_size': [[486]], 'value': [[0]], 'dtype': []}",1.3151168823242187e-05,36.95489021029732
#65,ssd300_coco,3,"{'input_size': [[16]], 'value': [[0]], 'dtype': []}",1.2829303741455079e-05,1.2471448429659913
#66,ssd300_coco,3,"{'input_size': [[24]], 'value': [[0]], 'dtype': []}",1.2929439544677734e-05,1.8562289507652592
#67,resnet18_8xb16_cifar10,10,"{'input_size': [[64]], 'value': [[1]], 'dtype': []}",1.2826919555664062e-05,4.989506617100372
#68,resnet18_8xb16_cifar10,5,"{'input_size': [[64]], 'value': [[1.0]], 'dtype': []}",1.2700557708740235e-05,5.039148789187159
#69,resnet18_8xb16_cifar10,10,"{'input_size': [[128]], 'value': [[1]], 'dtype': []}",1.28936767578125e-05,9.92734674556213
#70,resnet18_8xb16_cifar10,5,"{'input_size': [[128]], 'value': [[1.0]], 'dtype': []}",1.2762546539306641e-05,10.029346385204558
#71,resnet18_8xb16_cifar10,10,"{'input_size': [[256]], 'value': [[1]], 'dtype': []}",1.2764930725097656e-05,20.054946283152784
#72,resnet18_8xb16_cifar10,9,"{'input_size': [[512]], 'value': [[0]], 'dtype': []}",1.2848377227783203e-05,39.84939038782705
#73,resnet18_8xb16_cifar10,10,"{'input_size': [[512]], 'value': [[1]], 'dtype': []}",1.2886524200439452e-05,39.73142734505088
#74,resnet18_8xb16_cifar10,9,"{'input_size': [[256]], 'value': [[0]], 'dtype': []}",1.2884140014648437e-05,19.86938978534419
#75,resnet18_8xb16_cifar10,9,"{'input_size': [[64]], 'value': [[0]], 'dtype': []}",1.2924671173095703e-05,4.951770079321158
#76,resnet18_8xb16_cifar10,9,"{'input_size': [[128]], 'value': [[0]], 'dtype': []}",1.2967586517333985e-05,9.870765067107923
#77,vgg19bn_8xb32_cifar10,4,"{'input_size': [[64]], 'value': [[1]], 'dtype': []}",1.286029815673828e-05,4.976556470152021
#78,vgg19bn_8xb32_cifar10,16,"{'input_size': [[512]], 'value': [[1.0]], 'dtype': []}",1.277923583984375e-05,40.06499343283582
#79,vgg19bn_8xb32_cifar10,8,"{'input_size': [[64]], 'value': [[0]], 'dtype': []}",1.2714862823486328e-05,5.033479392462029
#80,vgg19bn_8xb32_cifar10,4,"{'input_size': [[128]], 'value': [[1]], 'dtype': []}",2.2439956665039064e-05,5.704110837229068
#81,vgg19bn_8xb32_cifar10,32,"{'input_size': [[512]], 'value': [[0]], 'dtype': []}",1.2786388397216797e-05,40.04258154018273
