id,source_neural_network,num_of_calls,parameters,running_time,Mflops
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,36,"{'input_size': [[576]], 'dim': [], 'keepdim': []}",1.4472007751464844e-05,39.80097370675453
#1,yolov3_mobilenetv2_mstrain-416_300e_coco,30,"{'input_size': [[32]], 'dim': [], 'keepdim': []}",1.8825531005859374e-05,1.699819250253293
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,28,"{'input_size': [[96, 192, 1, 1]], 'dim': [], 'keepdim': []}",1.919746398925781e-05,960.1268172876305
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,84,"{'input_size': [[192]], 'dim': [], 'keepdim': []}",1.4641284942626952e-05,13.113603126526625
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,24,"{'input_size': [[192, 96, 3, 3]], 'dim': [], 'keepdim': []}",1.4836788177490234e-05,11180.856531447855
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,24,"{'input_size': [[64]], 'dim': [], 'keepdim': []}",1.5127658843994141e-05,4.230661245074861
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,126,"{'input_size': [[96]], 'dim': [], 'keepdim': []}",1.5223026275634766e-05,6.30623624119029
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,48,"{'input_size': [[384]], 'dim': [], 'keepdim': []}",1.4960765838623047e-05,25.66713523505976
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,36,"{'input_size': [[960]], 'dim': [], 'keepdim': []}",1.5115737915039062e-05,63.509965930599364
#10,shufflenet-v2-1x_16xb64_cifar10,18,"{'input_size': [[232, 232, 1, 1]], 'dim': [], 'keepdim': []}",1.5194416046142577e-05,3542.3539698101363
#11,shufflenet-v2-1x_16xb64_cifar10,10,"{'input_size': [[24]], 'dim': [], 'keepdim': []}",1.9185543060302734e-05,1.2509419162420778
#12,shufflenet-v2-1x_16xb64_cifar10,56,"{'input_size': [[232]], 'dim': [], 'keepdim': []}",2.0711421966552735e-05,11.201548612869805
#13,shufflenet-v2-1x_16xb64_cifar10,10,"{'input_size': [[232, 1, 3, 3]], 'dim': [], 'keepdim': []}",1.497030258178711e-05,139.4761387482083
#14,shufflenet-v2-1x_16xb64_cifar10,52,"{'input_size': [[58]], 'dim': [], 'keepdim': []}",1.910686492919922e-05,3.0355581731969052
#15,shufflenet-v2-1x_16xb64_cifar10,8,"{'input_size': [[58, 1, 3, 3]], 'dim': [], 'keepdim': []}",1.4934539794921875e-05,34.952533333333335
#16,shufflenet-v2-1x_16xb64_cifar10,14,"{'input_size': [[58, 58, 1, 1]], 'dim': [], 'keepdim': []}",1.7082691192626954e-05,196.9244753105373
#17,shufflenet-v2-1x_16xb64_cifar10,18,"{'input_size': [[116, 1, 3, 3]], 'dim': [], 'keepdim': []}",1.8935203552246094e-05,55.135398841601614
#18,shufflenet-v2-1x_16xb64_cifar10,104,"{'input_size': [[116]], 'dim': [], 'keepdim': []}",1.4145374298095703e-05,8.200560660711275
#19,shufflenet-v2-1x_16xb64_cifar10,34,"{'input_size': [[116, 116, 1, 1]], 'dim': [], 'keepdim': []}",1.493692398071289e-05,900.8548224102154
#20,stgcn_80e_ntu60_xsub_keypoint,80,"{'input_size': [[16, 2, 256, 1, 1]], 'dim': [], 'keepdim': []}",1.8746852874755858e-05,436.9800123108229
#23,upernet_vit-b16_ln_mln_512x512_160k_ade20k,76,"{'input_size': [[512]], 'dim': [], 'keepdim': []}",1.8777847290039064e-05,27.266171254443876
#24,upernet_vit-b16_ln_mln_512x512_160k_ade20k,20,"{'input_size': [[2, 512, 512]], 'dim': [], 'keepdim': []}",1.4464855194091797e-05,36245.644561595516
#25,upernet_vit-b16_ln_mln_512x512_160k_ade20k,21,"{'input_size': [[512, 768, 1, 1]], 'dim': [], 'keepdim': []}",1.500844955444336e-05,26199.641646767275
#26,upernet_vit-b16_ln_mln_512x512_160k_ade20k,166,"{'input_size': [[768]], 'dim': [], 'keepdim': []}",1.8880367279052734e-05,40.677174794797324
#27,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[2304, 768]], 'dim': [], 'keepdim': []}",1.4646053314208984e-05,120815.61920052092
#28,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[2304]], 'dim': [], 'keepdim': []}",1.4729499816894532e-05,156.4207901586274
#29,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[768, 768]], 'dim': [], 'keepdim': []}",1.8870830535888673e-05,31255.858022691093
#30,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[3072, 768]], 'dim': [], 'keepdim': []}",1.4867782592773437e-05,158685.12908890314
#31,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[3072]], 'dim': [], 'keepdim': []}",1.9092559814453125e-05,160.90037322677324
#32,upernet_vit-b16_ln_mln_512x512_160k_ade20k,24,"{'input_size': [[768, 3072]], 'dim': [], 'keepdim': []}",1.5189647674560547e-05,155322.62831555487
