id,source_neural_network,num_of_calls,parameters,running_time,Mflops
#0,yolov3_mobilenetv2_mstrain-416_300e_coco,50,{'input_size': [[32]]},8.654594421386718e-06,3.6974580716253445
#2,yolov3_mobilenetv2_mstrain-416_300e_coco,60,{'input_size': [[960]]},8.547306060791016e-06,112.31609037656902
#3,yolov3_mobilenetv2_mstrain-416_300e_coco,190,{'input_size': [[96]]},8.020401000976562e-05,1.1969476337693223
#4,yolov3_mobilenetv2_mstrain-416_300e_coco,30,{'input_size': [[160]]},8.780956268310546e-06,18.221250067879446
#5,yolov3_mobilenetv2_mstrain-416_300e_coco,40,{'input_size': [[144]]},0.00012655735015869142,1.1378240759579519
#6,yolov3_mobilenetv2_mstrain-416_300e_coco,120,{'input_size': [[192]]},8.771419525146484e-06,21.88927338950802
#7,yolov3_mobilenetv2_mstrain-416_300e_coco,40,{'input_size': [[64]]},1.0743141174316407e-05,5.957289303151353
#8,yolov3_mobilenetv2_mstrain-416_300e_coco,80,{'input_size': [[384]]},1.7974376678466797e-05,21.363745005968962
#9,yolov3_mobilenetv2_mstrain-416_300e_coco,60,{'input_size': [[576]]},8.437633514404297e-06,68.26558643684656
#10,shufflenet-v2-1x_16xb64_cifar10,20,{'input_size': [[24]]},8.420944213867188e-06,2.8500366930917327
#12,shufflenet-v2-1x_16xb64_cifar10,130,{'input_size': [[58]]},8.454322814941406e-06,6.860395713479977
#13,shufflenet-v2-1x_16xb64_cifar10,260,{'input_size': [[116]]},8.547306060791016e-06,13.571527587168758
#14,shufflenet-v2-1x_16xb64_cifar10,140,{'input_size': [[232]]},8.549690246582031e-06,27.13548600111545
#15,shufflenet-v2-1x_16xb64_cifar10,36,"{'input_size': [[232, 232, 1, 1]]}",8.356571197509765e-06,6440.91921529244
#16,shufflenet-v2-1x_16xb64_cifar10,68,"{'input_size': [[116, 116, 1, 1]]}",8.573532104492188e-06,1569.4814967741934
#17,shufflenet-v2-1x_16xb64_cifar10,20,"{'input_size': [[232, 1, 3, 3]]}",8.65936279296875e-06,241.1262872246696
#18,shufflenet-v2-1x_16xb64_cifar10,36,"{'input_size': [[116, 1, 3, 3]]}",8.552074432373046e-06,122.07564471703374
#19,shufflenet-v2-1x_16xb64_cifar10,28,"{'input_size': [[58, 58, 1, 1]]}",8.561611175537109e-06,392.9166988582568
#20,stgcn_80e_ntu60_xsub_keypoint,237,{'input_size': [[384]]},8.420944213867188e-06,45.60058708946772
#21,stgcn_80e_ntu60_xsub_keypoint,237,{'input_size': [[768]]},1.0061264038085938e-05,76.3323571563981
#22,stgcn_80e_ntu60_xsub_keypoint,1596,{'input_size': [[64]]},8.79526138305664e-06,7.276645595012198
#23,stgcn_80e_ntu60_xsub_keypoint,1436,{'input_size': [[128]]},8.678436279296875e-06,14.74920087912088
#24,stgcn_80e_ntu60_xsub_keypoint,1436,{'input_size': [[256]]},9.152889251708985e-06,27.969310341234696
#25,stgcn_80e_ntu60_xsub_keypoint,237,"{'input_size': [[192, 64, 1, 1]]}",8.628368377685546e-06,1424.139473666759
#26,stgcn_80e_ntu60_xsub_keypoint,316,{'input_size': [[192]]},9.605884552001953e-06,19.98774802680566
#27,stgcn_80e_ntu60_xsub_keypoint,316,"{'input_size': [[64, 64, 9, 1]]}",1.7900466918945312e-05,2059.3876219499202
#28,stgcn_80e_ntu60_xsub_keypoint,237,"{'input_size': [[128, 128, 9, 1]]}",8.592605590820312e-06,17160.801626637072
#29,stgcn_80e_ntu60_xsub_keypoint,790,"{'input_size': [[3, 17, 17]]}",8.573532104492188e-06,101.12518264738597
#30,hrnet_w32_coco_256x192_coarsedropout,1840,{'input_size': [[64]]},8.544921875e-06,7.48982857142857
#32,hrnet_w32_coco_256x192_coarsedropout,720,{'input_size': [[256]]},8.697509765625e-06,29.433712280701755
#33,hrnet_w32_coco_256x192_coarsedropout,1860,{'input_size': [[32]]},8.487701416015625e-06,3.770160898876404
#34,hrnet_w32_coco_256x192_coarsedropout,1420,{'input_size': [[128]]},8.625984191894531e-06,14.83888645660586
#35,hrnet_w32_coco_256x192_coarsedropout,504,"{'input_size': [[128, 128, 3, 3]]}",8.685588836669922e-06,16977.08730782322
#36,hrnet_w32_coco_256x192_coarsedropout,639,"{'input_size': [[64, 64, 3, 3]]}",8.666515350341797e-06,4253.61272781293
#37,hrnet_w32_coco_256x192_coarsedropout,666,"{'input_size': [[32, 32, 3, 3]]}",8.528232574462891e-06,1080.6459509085826
#38,hrnet_w32_coco_256x192_coarsedropout,72,"{'input_size': [[32, 64, 1, 1]]}",8.49008560180664e-06,241.22253838809323
#39,hrnet_w32_coco_256x192_coarsedropout,216,"{'input_size': [[256, 256, 3, 3]]}",8.494853973388672e-06,69433.09465326971
#40,upernet_vit-b16_ln_mln_512x512_160k_ade20k,772,{'input_size': [[768]]},8.637905120849609e-06,88.91044637041126
#41,upernet_vit-b16_ln_mln_512x512_160k_ade20k,264,{'input_size': [[512]]},8.637905120849609e-06,59.27363091360751
#42,upernet_vit-b16_ln_mln_512x512_160k_ade20k,36,"{'input_size': [[768, 768, 1, 1]]}",8.556842803955078e-06,68930.09647522988
#43,upernet_vit-b16_ln_mln_512x512_160k_ade20k,63,"{'input_size': [[512, 768, 1, 1]]}",8.609294891357422e-06,45673.426797673776
#44,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,"{'input_size': [[768, 3072]]}",8.625984191894531e-06,273510.35516815924
#45,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,{'input_size': [[3072]]},8.690357208251954e-06,353.49525069958844
#46,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,"{'input_size': [[3072, 768]]}",8.487701416015625e-06,277966.42275235953
#47,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,"{'input_size': [[2304, 768]]}",8.571147918701173e-06,206445.15959632822
#48,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,{'input_size': [[2304]]},8.75234603881836e-06,263.2437051484609
#49,upernet_vit-b16_ln_mln_512x512_160k_ade20k,108,"{'input_size': [[768, 768]]}",8.640289306640625e-06,68264.38086357615
#50,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,74,{'input_size': [[96]]},8.435249328613282e-06,11.380813566986998
#51,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,182,{'input_size': [[384]]},0.0006761527061462402,0.5679190462589784
#52,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,78,{'input_size': [[768]]},0.00011278152465820313,6.809625976661593
#53,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,61,{'input_size': [[192]]},8.580684661865235e-06,22.375836843567658
#54,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,24,{'input_size': [[1152]]},8.487701416015625e-06,135.72579235955055
#55,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,24,"{'input_size': [[1152, 384]]}",8.547306060791016e-06,51755.25444552301
#56,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,24,"{'input_size': [[169, 12]]}",8.609294891357422e-06,235.55936062032677
#57,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,36,"{'input_size': [[256, 256, 3, 3]]}",8.382797241210937e-06,70361.2389788396
#58,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,56,{'input_size': [[256]]},8.533000946044922e-06,30.00116859457949
#59,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,33,{'input_size': [[1536]]},8.754730224609375e-06,175.44801045751635
#60,ssd300_coco,18,{'input_size': [[64]]},8.509159088134765e-06,7.5213072569347155
#61,ssd300_coco,27,{'input_size': [[16]]},8.535385131835937e-06,1.8745492737430167
#62,ssd300_coco,36,"{'input_size': [[256, 128, 3, 3]]}",8.59975814819336e-06,34293.05742301081
#63,ssd300_coco,27,{'input_size': [[24]]},1.710653305053711e-05,1.4029727665505227
#64,ssd300_coco,45,{'input_size': [[128]]},8.530616760253907e-06,15.004776746785913
#65,ssd300_coco,27,{'input_size': [[324]]},8.711814880371094e-06,37.19087290640394
#66,ssd300_coco,45,"{'input_size': [[512, 512, 3, 3]]}",8.67605209350586e-06,271931.97719109646
#67,ssd300_coco,63,{'input_size': [[256]]},8.704662322998046e-06,29.40952681457135
#68,ssd300_coco,27,{'input_size': [[486]]},8.785724639892578e-06,55.31700797829036
#69,ssd300_coco,72,{'input_size': [[512]]},8.761882781982422e-06,58.43492919727891
#70,resnet18_8xb16_cifar10,50,{'input_size': [[64]]},8.623600006103516e-06,7.42149449820293
#72,resnet18_8xb16_cifar10,50,{'input_size': [[128]]},8.203983306884765e-06,15.602177041557688
#73,resnet18_8xb16_cifar10,50,{'input_size': [[256]]},8.556842803955078e-06,29.91757659515185
#74,resnet18_8xb16_cifar10,50,{'input_size': [[512]]},8.327960968017578e-06,61.47963492699685
#75,resnet18_8xb16_cifar10,4,"{'input_size': [[64, 3, 3, 3]]}",8.492469787597656e-06,203.47437709152163
#76,resnet18_8xb16_cifar10,16,"{'input_size': [[64, 64, 3, 3]]}",8.528232574462891e-06,4322.58380363433
#77,resnet18_8xb16_cifar10,12,"{'input_size': [[512, 512, 3, 3]]}",6.476402282714843e-05,36429.11445289354
#78,resnet18_8xb16_cifar10,12,"{'input_size': [[128, 128, 3, 3]]}",8.437633514404297e-06,17475.99012783272
#79,resnet18_8xb16_cifar10,12,"{'input_size': [[256, 256, 3, 3]]}",9.305477142333985e-06,63384.605751883166
#80,vgg19bn_8xb32_cifar10,28,{'input_size': [[64]]},8.573532104492188e-06,7.46483470522803
#82,vgg19bn_8xb32_cifar10,28,{'input_size': [[128]]},8.559226989746093e-06,14.954621504178274
#83,vgg19bn_8xb32_cifar10,56,{'input_size': [[256]]},8.75234603881836e-06,29.24930057205121
#84,vgg19bn_8xb32_cifar10,112,{'input_size': [[512]]},8.530616760253907e-06,60.01910698714365
#85,vgg19bn_8xb32_cifar10,4,"{'input_size': [[64, 3, 3, 3]]}",2.2635459899902343e-05,76.34039721929639
#86,vgg19bn_8xb32_cifar10,4,"{'input_size': [[64, 64, 3, 3]]}",8.394718170166016e-06,4391.332651405851
#87,vgg19bn_8xb32_cifar10,8,{'input_size': [[4096]]},8.697509765625e-06,470.9393964912281
#88,vgg19bn_8xb32_cifar10,28,"{'input_size': [[512, 512, 3, 3]]}",8.592605590820312e-06,274572.82602619316
#89,vgg19bn_8xb32_cifar10,12,"{'input_size': [[256, 256, 3, 3]]}",8.368492126464844e-06,70481.51460102564
#90,faster_rcnn_r50_fpn_1x_coco,16,"{'input_size': [[128, 128, 3, 3]]}",8.556842803955078e-06,17232.52411880747
#92,faster_rcnn_r50_fpn_1x_coco,164,{'input_size': [[256]]},8.6212158203125e-06,29.69418761061947
#93,faster_rcnn_r50_fpn_1x_coco,110,{'input_size': [[512]]},8.568763732910156e-06,59.751910072342795
#94,faster_rcnn_r50_fpn_1x_coco,80,{'input_size': [[128]]},8.628368377685546e-06,14.834786184028738
#95,faster_rcnn_r50_fpn_1x_coco,78,{'input_size': [[1024]]},8.535385131835937e-06,119.97115351955307
#96,faster_rcnn_r50_fpn_1x_coco,40,{'input_size': [[2048]]},8.580684661865235e-06,238.67559299805498
#97,faster_rcnn_r50_fpn_1x_coco,44,"{'input_size': [[256, 256, 3, 3]]}",8.6212158203125e-06,68415.40825486726
#98,faster_rcnn_r50_fpn_1x_coco,24,"{'input_size': [[256, 1024, 1, 1]]}",8.656978607177735e-06,30281.234584852653
#99,faster_rcnn_r50_fpn_1x_coco,24,"{'input_size': [[1024, 256, 1, 1]]}",8.609294891357422e-06,30448.951198449184
#100,mobilenet-v2_8xb32_cifar10,50,{'input_size': [[32]]},8.549690246582031e-06,3.7428256553262687
#102,mobilenet-v2_8xb32_cifar10,60,{'input_size': [[960]]},8.530616760253907e-06,112.53582560089434
